"city","date","max_temp"
Cordoba,2023-08-11,45.1
San Francisco,2023-10-05,28.6
Hanoi,2023-05-06,41.0
Cordoba,2023-08-11,45.1
San Francisco,2023-10-05,28.6
Hanoi,2023-05-06,41.0
Cordoba,2023-08-11,45.1
San Francisco,2023-10-05,28.6
Hanoi,2023-05-06,41.0
Cordoba,2023-08-11,45.1
San Francisco,2023-10-05,28.6
Hanoi,2023-05-06,41.0
