"city","month","sunny_days"
Cordoba,1,10
Cordoba,2,9
Cordoba,3,4
Cordoba,4,16
Cordoba,5,14
Cordoba,6,18
Cordoba,7,26
Cordoba,8,27
Cordoba,9,21
Cordoba,10,10
Cordoba,11,16
Cordoba,12,16
Hanoi,2,2
Hanoi,4,3
Hanoi,5,4
Hanoi,6,1
Hanoi,7,3
Hanoi,8,3
Hanoi,9,2
Hanoi,10,3
Hanoi,11,6
Hanoi,12,9
San Francisco,1,9
San Francisco,2,5
San Francisco,3,11
San Francisco,4,17
San Francisco,5,13
San Francisco,6,15
San Francisco,7,1
San Francisco,10,12
San Francisco,11,7
San Francisco,12,8
