"city","month","average_temp"
Cordoba,1,11.1551724137931034
Cordoba,2,11.7148148148148148
Cordoba,3,12.7129032258064516
Cordoba,4,19.0793103448275862
Cordoba,5,21.4586206896551724
Cordoba,6,26.5518518518518519
Cordoba,7,31.2321428571428571
Cordoba,8,31.2413793103448276
Cordoba,9,23.6103448275862069
Cordoba,10,20.5900000000000000
Cordoba,11,14.4107142857142857
Cordoba,12,10.1677419354838710
Hanoi,1,18.3193548387096774
Hanoi,2,20.8884615384615385
Hanoi,3,22.4103448275862069
Hanoi,4,26.2655172413793103
Hanoi,5,28.3448275862068966
Hanoi,6,29.7708333333333333
Hanoi,7,30.5633333333333333
Hanoi,8,28.7103448275862069
Hanoi,9,27.3000000000000000
Hanoi,10,25.9576923076923077
Hanoi,11,23.5793103448275862
Hanoi,12,19.7612903225806452
San Francisco,1,11.7814814814814815
San Francisco,2,11.3307692307692308
San Francisco,3,11.6709677419354839
San Francisco,4,12.4571428571428571
San Francisco,5,13.8285714285714286
San Francisco,6,15.1000000000000000
San Francisco,7,16.0827586206896552
San Francisco,8,17.2433333333333333
San Francisco,9,15.8962962962962963
San Francisco,10,16.3866666666666667
San Francisco,11,13.4034482758620690
San Francisco,12,12.3838709677419355
,,
